character,pinyin,plain_pinyin
自己,zì jǐ,
不愧,bù kuì,
限量版,xiàn liáng bǎn,
带着,dài zhe
来到,lái dào
玩具车,wán jù chē,
冲,chōng,chong
时候,shí hòu,
侦探,zhēn tàn,
开心,kāi xīn,
慌慌涨涨,huāng huāng zhāng zhāng,
过来,guò lái,guo lai
大呼,dà hū,da hu
呼吸,hū xī,hu xi
礼物,lǐ wù,li wu
嚷嚷,rāng rāng,rang rang
满头大汗,mǎn tóu dà hàn,
事务所,shì wù suǒ,
冤枉,yuān wǎng,
超,chāo,
紧张,jǐn zhāng,
绝对,jué duì
红色,hóng sè
扭矩,niǔ jǔ
告诉,gào sù
拿出,ná chū
碰,pèng
一辆车,yī liàng chē
升级版,shēng jí bǎn
被抓走,bèi zhuā zǒu
只能,zhǐ néng
智能,zhì néng
一定,yī dìng
手掌,shǒu zhǎng
声称,shēng chēng
声音,shēng yīn
控告,kòng gào
车灯,chē dēng
要救救,yào jiù jiù
偷走,tōu zǒu
气愤,qì fèn
激怒,jī nù
指着,zhǐ zhe
明明,míng míng
家里,jiā lǐ
偷,tōu
偷偷摸摸,tōu tōu mō mō
根本,gēn běn
儿子,ér zi
儿童节,ér tóng jié
原来,yuán lái
店,diàn
饭店,fàn diàn
可是,kě shì
里面,lǐ miàn
动物,dòng wù
运动,yùn dòng
挤不进去,jǐ bù jìn qù
因为,yīn wèi
于是,yú shì
预订,yù dìng
编了个谎话,biān le gè huǎng huà
隔壁,gé bì
旋风,xuàn fēng
陀螺,tuó luó
清仓降价,qīng cāng jiàng jià
价值,jià zhí
价钱,jià qián
特价,tè jià
其他,qí tā
被骗走,bèi piàn zǒu
赶紧冲到,gǎn jǐn chōng dào
柜台前,guì tái qián
警察,jǐng chá
交通,jiāo tōng
发现,fā xiàn
只剩最后一个,zhǐ shèng zuì hòu yī gè
而其,ér qí
已经,yǐ jīng
预订,yù dìng
预定,yù dìng
亲亲,qīn qīn
清救,qīng jiù
让给自己,ràng jǐ zì jǐ
当然,dāng rán
但是,dàn shì
服务台,fú wù tái
愿意,yuàn yì
谈,tán
探,tàn
喊,hǎn
叫喊,jiào hǎn
意思,yì si
追问,zhuī wèn
它,tā
做,zuò
冷笑,lěng xiào
微笑,wéi xiào
知道,zhī dào
抵赖,dǐ lài
拒绝,jù jué
负担,fù dān
负面,fù miàn
所以,suǒ yǐ
重要,zhòng yào
惹,rě
皮球,pí qiú
物证,wù zhèng
凡是,fán shì
所有,suǒ yǒu
赢,yíng
输,shū
嬉戏,xī xì
游戏,yóu xì
远动,yuǎn dòng
应该,yīng gāi
带来,dài lái
停下来,tíng xià lái
东西,dōng xī
独特,dú tè
特制,tè zhì
独一无二,dú yī wú èr
签名,qiān míng
竟然,jìng rán
终于,zhōng yú
情形,qíng xíng
奖状,jiǎng zhuàng
洗澡,xǐ zǎo
照片,zhào piàn
拍照片,pāi zhào piàn
到处,dào chù
丢,diū
收拾,shōu shí
孩子,hái zi
整理,zhěng lǐ
决定,jué dìng
公司,gōng sī
广播,guǎng bò
老板,lǎo bǎn
狮子,shī zi
叮咚,dīng dōng
鳄鱼,è yú
松鼠,sōng shǔ
门铃响,mén líng xiǎng
外面,wài miàn
外边,wài bian
情结,qíng jié
以前,yǐ qián
以后,yǐ hòu
屋子,wū zi
干净,gān jìng
乱七八糟,luàn qī bā zāo
简单,jiǎn dān
简直,jiǎn zhí
兄妹,xiōng mèi
孙子,sūn zi
孙女,sūn nǚ
希望,xī wàng
需要,xū yào
临时,lín shí
保安,bǎo ān
守护,shǒu hù
宝贝,bǎo bèi
打电话,dǎ diàn huà
怀疑,huái yí
帮忙,bāng máng
熊猫,xióng māo
工作,gōng zuò
点点头,diǎn diǎn tóu
怎么办,zěn me bàn
体形,tǐ xíng
样子,yàng zi
着急,zhāo jí
长得胖嘟嘟,zhǎng dé pàng dū dū
慢腾腾,màn téng téng
追,zhuī
嘎嘎乱叫,gā gā luàn jiào
黄,huáng
亮,liàng
月亮,yuè liàng
狐狸,hú lí
静静,jìng jìng
坐,zuò
旁边,páng biān
出去办事,chū qù bàn shì
匆匆忙忙,cōng cōng máng mang
躲在大树后面,duǒ zài dà shù hòu miàn
嘻嘻,xī xī
睡着,shuì zháo
很好机会,hěn hǎo jī huì
偷偷摸摸,tōu tōu mō mō
靠近,kàojìn
眼睛,yǎn jīng
吓得全身发抖,xià dé quán shēn fā dǒu
周围,zhōu wéi
长满,zhǎng mǎn
闭着,bì zhe
一样,yī yàng
溜走,liū zǒu
不敢,bù gǎn
回到家,huí dào jiā
一动也不动,yī dòng yě bù dòng
团团转,tuán tuán zhuàn
糊涂,hú tú
伸出,shēn chū
茸茸,róng róng
高兴,gāo xìng
然后,rán hòu
平平安安,píng píng ān ān
是最棒的,shì zuì bàng de
对不对,duì bù duì
露出了微笑,lù chū le wéi xiào
忍一忍,rěn yī rěn
很有耐心,hěn yǒu nài xīn
很能干,hěn néng gàn
没问题,méi wèn tí
捉迷藏,zhuō mí cáng
准时到达,zhǔn shí dào dá
到达目的地,dào dá mù dì de
嗨各位好,hāi gè wèi hǎo
幼儿园,yòu ér yuán
毕业,bì yè
领到一张奖状,lǐng dào yī zhāng jiǎng zhuàng
学校,xué xiào
在学校话很多,zài xué xiào huà hěn duō
乖乖坐,guāi guāi zuò,
坐在位子上,zuò zài wèi zi shàng,
喜欢乱动,xǐ huān luàn dòng,
等你,děng nǐ
一年级,yī nián jí,
就会很惨,jiù huì hěn cǎn
补充说,bǔ chōng shuō
充水,chōng shuǐ
记得上次,jì dé shàng cì
同学,tóng xué
罚站,fá zhàn
抓蝴蝶,zhuā hú dié
反而,fǎn ér
解剖,jiě pōu
另外,lìng wài
哇哇大叫,wā wā dà jiào
结果,jié guǒ
一分钟,yī fēn zhōng
连,lián
这件事,zhè jiàn shì
立刻,lì kè
大声说,dà shēng shuō





